acc_status,duration,credit_history,purpose,credit_amt,savings,employment,instalment,personal_status,debtors,residence,property,age,other_instalments,housing,number_of_credit,job,people,telephone,foreign_worker,default
"[0,200)",12,existing credits paid back duly till now,radio/television,1567,<100,"3:[1,4 years)",1,female: divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute",22,none,own,1,skilled employee/official,1,yes,yes,0
<0,24,critical account/other credits existing (not at this bank),ar (new),1199,<100,5:7+ years,4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",60,none,own,2,unskilled - resident,1,no,yes,1
<0,15,existing credits paid back duly till now,ar (new),1403,<100,"3:[1,4 years)",2,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",28,none,rent,1,skilled employee/official,1,no,yes,0
<0,24,existing credits paid back duly till now,radio/television,1282,"[100,500)","3:[1,4 years)",4,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",32,none,own,1,unskilled - resident,1,no,yes,1
no,24,critical account/other credits existing (not at this bank),radio/television,2424,unknown/no savings account,5:7+ years,4,male: single,none,4,if not A121 : building society savings agreement/life insurance,53,none,own,2,skilled employee/official,1,no,yes,0
<0,30,no credits taken/all credits paid back duly,business,8072,unknown/no savings account,2:<1 year,2,male: single,none,3,"if not A121/A122 : car or other, not in attribute",25,bank,own,3,skilled employee/official,1,no,yes,0
"[0,200)",24,existing credits paid back duly till now,car (used),12579,<100,5:7+ years,4,female: divorced/separated/married,none,2,unknown / no property,44,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
no,24,existing credits paid back duly till now,radio/television,3430,"[500,1000)",5:7+ years,3,male: single,none,2,"if not A121/A122 : car or other, not in attribute",31,none,own,1,skilled employee/official,2,yes,yes,0
no,9,critical account/other credits existing (not at this bank),ar (new),2134,<100,"3:[1,4 years)",4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",48,none,own,3,skilled employee/official,1,yes,yes,0
<0,6,existing credits paid back duly till now,radio/television,2647,"[500,1000)","3:[1,4 years)",2,male: single,none,3,real estate,44,none,rent,1,skilled employee/official,2,no,yes,0
<0,10,critical account/other credits existing (not at this bank),ar (new),2241,<100,2:<1 year,1,male: single,none,3,real estate,48,none,rent,2,unskilled - resident,2,no,no,0
"[0,200)",12,critical account/other credits existing (not at this bank),car (used),1804,"[100,500)",2:<1 year,3,male: single,none,4,if not A121 : building society savings agreement/life insurance,44,none,own,1,skilled employee/official,1,no,yes,0
no,10,critical account/other credits existing (not at this bank),furniture/equipment,2069,unknown/no savings account,"3:[1,4 years)",2,male: married/widowed,none,1,"if not A121/A122 : car or other, not in attribute",26,none,own,2,skilled employee/official,1,no,no,0
<0,6,existing credits paid back duly till now,furniture/equipment,1374,<100,"3:[1,4 years)",1,male: single,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,0
no,6,no credits taken/all credits paid back duly,radio/television,426,<100,5:7+ years,4,male: married/widowed,none,4,"if not A121/A122 : car or other, not in attribute",39,none,own,1,unskilled - resident,1,no,yes,0
200+,12,all credits at this bank paid back duly,radio/television,409,1000+,"3:[1,4 years)",3,female: divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee/official,1,no,yes,0
"[0,200)",7,existing credits paid back duly till now,radio/television,2415,<100,"3:[1,4 years)",3,male: single,guarantor,2,real estate,34,none,own,1,skilled employee/official,1,no,yes,0
<0,60,delay in paying off in the past,business,6836,<100,5:7+ years,3,male: single,none,4,unknown / no property,63,none,own,2,skilled employee/official,1,yes,yes,1
"[0,200)",18,existing credits paid back duly till now,business,1913,1000+,2:<1 year,3,male: married/widowed,none,3,real estate,36,bank,own,1,skilled employee/official,1,yes,yes,0
<0,24,existing credits paid back duly till now,furniture/equipment,4020,<100,"3:[1,4 years)",2,male: single,none,2,"if not A121/A122 : car or other, not in attribute",27,stores,own,1,skilled employee/official,1,no,yes,0
"[0,200)",18,existing credits paid back duly till now,ar (new),5866,"[100,500)","3:[1,4 years)",2,male: single,none,2,"if not A121/A122 : car or other, not in attribute",30,none,own,2,skilled employee/official,1,yes,yes,0
no,12,critical account/other credits existing (not at this bank),business,1264,unknown/no savings account,5:7+ years,4,male: single,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1,no,yes,0
200+,12,existing credits paid back duly till now,furniture/equipment,1474,<100,2:<1 year,4,female: divorced/separated/married,none,1,if not A121 : building society savings agreement/life insurance,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
"[0,200)",45,critical account/other credits existing (not at this bank),radio/television,4746,<100,2:<1 year,4,male: single,none,2,if not A121 : building society savings agreement/life insurance,25,none,own,2,unskilled - resident,1,no,yes,1
no,48,critical account/other credits existing (not at this bank),education,6110,<100,"3:[1,4 years)",1,male: single,none,3,unknown / no property,31,bank,for free,1,skilled employee/official,1,yes,yes,0
200+,18,existing credits paid back duly till now,radio/television,2100,<100,"3:[1,4 years)",4,male: single,co-applicant,2,real estate,37,stores,own,1,skilled employee/official,1,no,yes,1
200+,10,existing credits paid back duly till now,domestic appliances,1225,<100,"3:[1,4 years)",2,male: single,none,2,"if not A121/A122 : car or other, not in attribute",37,none,own,1,skilled employee/official,1,yes,yes,0
"[0,200)",9,existing credits paid back duly till now,radio/television,458,<100,"3:[1,4 years)",4,male: single,none,3,real estate,24,none,own,1,skilled employee/official,1,no,yes,0
no,30,existing credits paid back duly till now,radio/television,2333,"[500,1000)",5:7+ years,4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",30,bank,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,0
"[0,200)",12,existing credits paid back duly till now,radio/television,1158,"[500,1000)","3:[1,4 years)",3,male: divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute",26,none,own,1,skilled employee/official,1,yes,yes,0
"[0,200)",18,delay in paying off in the past,repairs,6204,<100,"3:[1,4 years)",2,male: single,none,4,real estate,44,none,own,1,unskilled - resident,2,yes,yes,0
<0,30,critical account/other credits existing (not at this bank),car (used),6187,"[100,500)","4:[4,7 years)",1,male: married/widowed,none,4,"if not A121/A122 : car or other, not in attribute",24,none,rent,2,skilled employee/official,1,no,yes,0
<0,48,critical account/other credits existing (not at this bank),car (used),6143,<100,5:7+ years,4,female: divorced/separated/married,none,4,unknown / no property,58,stores,for free,2,unskilled - resident,1,no,yes,1
no,11,critical account/other credits existing (not at this bank),ar (new),1393,<100,2:<1 year,4,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",35,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,0
no,36,existing credits paid back duly till now,radio/television,2299,"[500,1000)",5:7+ years,4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",39,none,own,1,skilled employee/official,1,no,yes,0
<0,6,existing credits paid back duly till now,car (used),1352,"[500,1000)",1:unemployed,1,female: divorced/separated/married,none,2,if not A121 : building society savings agreement/life insurance,23,none,rent,1,unemployed/unskilled non-resident,1,yes,yes,0
no,11,critical account/other credits existing (not at this bank),ar (new),7228,<100,"3:[1,4 years)",1,male: single,none,4,if not A121 : building society savings agreement/life insurance,39,none,own,2,unskilled - resident,1,no,yes,0
no,12,existing credits paid back duly till now,radio/television,2073,"[100,500)","3:[1,4 years)",4,female: divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",24,delay in paying off in the past,furniture/equipment,2333,unknown/no savings account,2:<1 year,4,male: single,none,2,if not A121 : building society savings agreement/life insurance,29,bank,own,1,unskilled - resident,1,no,yes,0
"[0,200)",27,delay in paying off in the past,car (used),5965,<100,5:7+ years,1,male: single,none,2,"if not A121/A122 : car or other, not in attribute",30,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
no,12,existing credits paid back duly till now,radio/television,1262,<100,"3:[1,4 years)",3,male: single,none,2,"if not A121/A122 : car or other, not in attribute",25,none,own,1,skilled employee/official,1,no,yes,0
no,18,existing credits paid back duly till now,car (used),3378,unknown/no savings account,"3:[1,4 years)",2,male: single,none,1,if not A121 : building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,yes,yes,0
"[0,200)",36,delay in paying off in the past,ar (new),2225,<100,5:7+ years,4,male: single,none,4,unknown / no property,57,bank,for free,2,skilled employee/official,1,yes,yes,1
no,6,all credits at this bank paid back duly,ar (new),783,unknown/no savings account,"3:[1,4 years)",1,male: single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,no,yes,0
"[0,200)",12,existing credits paid back duly till now,radio/television,6468,unknown/no savings account,1:unemployed,2,male: single,none,1,unknown / no property,52,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
no,36,critical account/other credits existing (not at this bank),radio/television,9566,<100,"3:[1,4 years)",2,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",31,stores,own,2,skilled employee/official,1,no,yes,0
200+,18,existing credits paid back duly till now,ar (new),1961,<100,5:7+ years,3,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",23,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,0
<0,36,critical account/other credits existing (not at this bank),furniture/equipment,6229,<100,2:<1 year,4,female: divorced/separated/married,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,yes,yes,1
"[0,200)",9,existing credits paid back duly till now,business,1391,<100,"3:[1,4 years)",2,male: married/widowed,none,1,real estate,27,bank,own,1,skilled employee/official,1,yes,yes,0
"[0,200)",15,critical account/other credits existing (not at this bank),radio/television,1537,unknown/no savings account,5:7+ years,4,male: single,guarantor,4,real estate,50,none,own,2,skilled employee/official,1,yes,yes,0
"[0,200)",36,no credits taken/all credits paid back duly,business,1953,<100,5:7+ years,4,male: single,none,4,unknown / no property,61,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
"[0,200)",48,no credits taken/all credits paid back duly,business,14421,<100,"3:[1,4 years)",2,male: single,none,2,"if not A121/A122 : car or other, not in attribute",25,none,own,1,skilled employee/official,1,yes,yes,1
no,24,existing credits paid back duly till now,radio/television,3181,<100,2:<1 year,4,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,0
no,27,existing credits paid back duly till now,repairs,5190,unknown/no savings account,5:7+ years,4,male: single,none,4,if not A121 : building society savings agreement/life insurance,48,none,own,4,skilled employee/official,2,yes,yes,0
no,12,existing credits paid back duly till now,radio/television,2171,<100,2:<1 year,2,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",29,bank,own,1,skilled employee/official,1,no,yes,0
"[0,200)",12,existing credits paid back duly till now,ar (new),1007,1000+,"3:[1,4 years)",4,male: married/widowed,none,1,real estate,22,none,own,1,skilled employee/official,1,no,yes,0
no,36,existing credits paid back duly till now,education,1819,<100,"3:[1,4 years)",4,male: single,none,4,unknown / no property,37,stores,for free,1,skilled employee/official,1,yes,yes,1
no,36,existing credits paid back duly till now,radio/television,2394,unknown/no savings account,"3:[1,4 years)",4,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",25,none,own,1,skilled employee/official,1,no,yes,0
no,36,existing credits paid back duly till now,car (used),8133,<100,"3:[1,4 years)",1,female: divorced/separated/married,none,2,if not A121 : building society savings agreement/life insurance,30,bank,own,1,skilled employee/official,1,no,yes,0
no,7,critical account/other credits existing (not at this bank),radio/television,730,unknown/no savings account,5:7+ years,4,male: single,none,2,if not A121 : building society savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,0
<0,8,critical account/other credits existing (not at this bank),others,1164,<100,5:7+ years,3,male: single,none,4,unknown / no property,51,bank,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0
"[0,200)",42,critical account/other credits existing (not at this bank),business,5954,<100,"4:[4,7 years)",2,female: divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,no,yes,0
<0,36,existing credits paid back duly till now,education,1977,unknown/no savings account,5:7+ years,4,male: single,none,4,unknown / no property,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
<0,12,critical account/other credits existing (not at this bank),car (used),1526,<100,5:7+ years,4,male: single,none,4,unknown / no property,66,none,for free,2,management/self-employed/highly qualified employee/officer,1,no,yes,0
<0,42,existing credits paid back duly till now,radio/television,3965,<100,2:<1 year,4,male: single,none,3,"if not A121/A122 : car or other, not in attribute",34,none,own,1,skilled employee/official,1,no,yes,1
"[0,200)",11,delay in paying off in the past,radio/television,4771,<100,"4:[4,7 years)",2,male: single,none,4,if not A121 : building society savings agreement/life insurance,51,none,own,1,skilled employee/official,1,no,yes,0
no,54,no credits taken/all credits paid back duly,car (used),9436,unknown/no savings account,"3:[1,4 years)",2,male: single,none,2,if not A121 : building society savings agreement/life insurance,39,none,own,1,unskilled - resident,2,no,yes,0
"[0,200)",30,existing credits paid back duly till now,furniture/equipment,3832,<100,2:<1 year,2,male: married/widowed,none,1,if not A121 : building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,no,yes,0
no,24,existing credits paid back duly till now,radio/television,5943,unknown/no savings account,2:<1 year,1,female: divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute",44,none,own,2,skilled employee/official,1,yes,yes,1
no,15,existing credits paid back duly till now,radio/television,1213,"[500,1000)",5:7+ years,4,male: single,none,3,if not A121 : building society savings agreement/life insurance,47,stores,own,1,skilled employee/official,1,yes,yes,0
no,18,existing credits paid back duly till now,business,1568,"[100,500)","3:[1,4 years)",3,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,no,yes,0
<0,24,existing credits paid back duly till now,others,1755,<100,5:7+ years,4,female: divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,yes,yes,0
<0,10,existing credits paid back duly till now,radio/television,2315,<100,5:7+ years,3,male: single,none,4,real estate,52,none,own,1,unskilled - resident,1,no,yes,0
no,12,critical account/other credits existing (not at this bank),business,1412,<100,"3:[1,4 years)",4,female: divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
"[0,200)",18,critical account/other credits existing (not at this bank),furniture/equipment,1295,<100,2:<1 year,4,female: divorced/separated/married,none,1,if not A121 : building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,no,yes,0
"[0,200)",36,existing credits paid back duly till now,education,12612,"[100,500)","3:[1,4 years)",1,male: single,none,4,unknown / no property,47,none,for free,1,skilled employee/official,2,yes,yes,1
<0,18,existing credits paid back duly till now,ar (new),2249,"[100,500)","4:[4,7 years)",4,male: single,none,3,"if not A121/A122 : car or other, not in attribute",30,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,0
<0,12,no credits taken/all credits paid back duly,repairs,1108,<100,"4:[4,7 years)",4,male: single,none,3,real estate,28,none,own,2,skilled employee/official,1,no,yes,1
no,12,critical account/other credits existing (not at this bank),radio/television,618,<100,5:7+ years,4,male: single,none,4,real estate,56,none,own,1,skilled employee/official,1,no,yes,0
<0,12,critical account/other credits existing (not at this bank),car (used),1409,<100,5:7+ years,4,male: single,none,3,real estate,54,none,own,1,skilled employee/official,1,no,yes,0
no,12,critical account/other credits existing (not at this bank),radio/television,797,unknown/no savings account,5:7+ years,4,female: divorced/separated/married,none,3,if not A121 : building society savings agreement/life insurance,33,bank,own,1,unskilled - resident,2,no,yes,1
200+,24,critical account/other credits existing (not at this bank),furniture/equipment,3617,unknown/no savings account,5:7+ years,4,male: single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee/official,1,no,yes,0
"[0,200)",12,existing credits paid back duly till now,ar (new),1318,1000+,5:7+ years,4,male: single,none,4,real estate,54,none,own,1,skilled employee/official,1,yes,yes,0
"[0,200)",54,no credits taken/all credits paid back duly,business,15945,<100,2:<1 year,3,male: single,none,4,unknown / no property,58,none,rent,1,skilled employee/official,1,yes,yes,1
no,12,critical account/other credits existing (not at this bank),education,2012,unknown/no savings account,"4:[4,7 years)",4,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",61,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",18,existing credits paid back duly till now,business,2622,"[100,500)","3:[1,4 years)",4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",34,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",36,critical account/other credits existing (not at this bank),radio/television,2337,<100,5:7+ years,4,male: single,none,4,real estate,36,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",20,delay in paying off in the past,car (used),7057,unknown/no savings account,"4:[4,7 years)",3,male: single,none,4,if not A121 : building society savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0
no,24,existing credits paid back duly till now,ar (new),1469,"[100,500)",5:7+ years,4,male: married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,no,yes,0
"[0,200)",36,existing credits paid back duly till now,radio/television,2323,<100,"4:[4,7 years)",4,male: single,none,4,"if not A121/A122 : car or other, not in attribute",24,none,rent,1,skilled employee/official,1,no,yes,0
no,6,delay in paying off in the past,radio/television,932,<100,"3:[1,4 years)",3,female: divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,no,yes,0
"[0,200)",9,critical account/other credits existing (not at this bank),furniture/equipment,1919,<100,"4:[4,7 years)",4,male: single,none,3,"if not A121/A122 : car or other, not in attribute",35,none,rent,1,skilled employee/official,1,yes,yes,0
no,12,existing credits paid back duly till now,car (used),2445,unknown/no savings account,2:<1 year,2,male: married/widowed,none,4,"if not A121/A122 : car or other, not in attribute",26,none,rent,1,skilled employee/official,1,yes,yes,0
"[0,200)",24,critical account/other credits existing (not at this bank),others,11938,<100,"3:[1,4 years)",2,male: single,co-applicant,3,"if not A121/A122 : car or other, not in attribute",39,none,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1
no,18,all credits at this bank paid back duly,ar (new),6458,<100,5:7+ years,2,male: single,none,4,unknown / no property,39,bank,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1
"[0,200)",12,existing credits paid back duly till now,ar (new),6078,<100,"4:[4,7 years)",2,male: single,none,2,"if not A121/A122 : car or other, not in attribute",32,none,own,1,skilled employee/official,1,no,yes,0
<0,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/no savings account,2:<1 year,1,female: divorced/separated/married,none,2,if not A121 : building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,yes,no,0
"[0,200)",14,existing credits paid back duly till now,business,1410,"[500,1000)",5:7+ years,1,male: married/widowed,none,2,real estate,35,none,own,1,skilled employee/official,1,yes,yes,0
"[0,200)",6,delay in paying off in the past,business,1449,"[100,500)",5:7+ years,1,male: divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute",31,bank,own,2,skilled employee/official,2,no,yes,0
200+,15,existing credits paid back duly till now,education,392,<100,2:<1 year,4,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,23,none,rent,1,skilled employee/official,1,yes,yes,0
"[0,200)",18,existing credits paid back duly till now,ar (new),6260,<100,"4:[4,7 years)",3,male: single,none,3,real estate,28,none,rent,1,unskilled - resident,1,no,yes,0
no,36,critical account/other credits existing (not at this bank),ar (new),7855,<100,"3:[1,4 years)",4,female: divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee/official,1,yes,yes,1
<0,12,existing credits paid back duly till now,radio/television,1680,"[500,1000)",5:7+ years,3,male: married/widowed,none,1,real estate,35,none,own,1,skilled employee/official,1,no,yes,0
no,48,critical account/other credits existing (not at this bank),radio/television,3578,unknown/no savings account,5:7+ years,4,male: single,none,1,real estate,47,none,own,1,skilled employee/official,1,yes,yes,0
<0,42,existing credits paid back duly till now,radio/television,7174,unknown/no savings account,"4:[4,7 years)",4,female: divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute",30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
<0,10,critical account/other credits existing (not at this bank),furniture/equipment,2132,unknown/no savings account,2:<1 year,2,female: divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee/official,1,no,no,0
<0,33,critical account/other credits existing (not at this bank),furniture/equipment,4281,"[500,1000)","3:[1,4 years)",1,female: divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute",23,none,own,2,skilled employee/official,1,no,yes,1
"[0,200)",12,critical account/other credits existing (not at this bank),ar (new),2366,"[500,1000)","4:[4,7 years)",3,male: divorced/separated,none,3,"if not A121/A122 : car or other, not in attribute",36,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
<0,21,existing credits paid back duly till now,radio/television,1835,<100,"3:[1,4 years)",3,female: divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee/official,1,yes,yes,1
no,24,critical account/other credits existing (not at this bank),car (used),3868,<100,5:7+ years,4,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",41,none,rent,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
no,12,existing credits paid back duly till now,furniture/equipment,1768,<100,"3:[1,4 years)",3,male: single,none,2,real estate,24,none,rent,1,unskilled - resident,1,no,yes,0
200+,10,critical account/other credits existing (not at this bank),ar (new),781,<100,5:7+ years,4,male: single,none,4,unknown / no property,63,none,for free,2,skilled employee/official,1,yes,yes,0
"[0,200)",18,existing credits paid back duly till now,furniture/equipment,1924,unknown/no savings account,2:<1 year,4,female: divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee/official,1,no,yes,1
<0,12,critical account/other credits existing (not at this bank),ar (new),2121,<100,"3:[1,4 years)",4,male: single,none,2,if not A121 : building society savings agreement/life insurance,30,none,own,2,skilled employee/official,1,no,yes,0
<0,12,existing credits paid back duly till now,radio/television,701,<100,"3:[1,4 years)",4,male: married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,no,yes,0
"[0,200)",12,existing credits paid back duly till now,repairs,639,<100,"3:[1,4 years)",4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",30,none,own,1,skilled employee/official,1,no,yes,1
"[0,200)",12,critical account/other credits existing (not at this bank),car (used),1860,<100,1:unemployed,4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",34,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0
<0,12,critical account/other credits existing (not at this bank),ar (new),3499,<100,"3:[1,4 years)",3,female: divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee/official,1,no,yes,1
"[0,200)",48,existing credits paid back duly till now,ar (new),8487,unknown/no savings account,"4:[4,7 years)",1,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",24,none,own,1,skilled employee/official,1,no,yes,0
<0,36,delay in paying off in the past,education,6887,<100,"3:[1,4 years)",4,male: single,none,3,if not A121 : building society savings agreement/life insurance,29,stores,own,1,skilled employee/official,1,yes,yes,1
no,15,existing credits paid back duly till now,furniture/equipment,2708,<100,2:<1 year,2,male: single,none,3,if not A121 : building society savings agreement/life insurance,27,bank,own,2,unskilled - resident,1,no,yes,0
no,18,existing credits paid back duly till now,furniture/equipment,1984,<100,"3:[1,4 years)",4,male: single,none,4,unknown / no property,47,bank,for free,2,skilled employee/official,1,no,yes,0
no,60,existing credits paid back duly till now,radio/television,10144,"[100,500)","4:[4,7 years)",2,female: divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee/official,1,yes,yes,0
no,12,critical account/other credits existing (not at this bank),radio/television,1240,unknown/no savings account,5:7+ years,4,female: divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee/official,1,yes,yes,0
no,27,delay in paying off in the past,car (used),8613,1000+,"3:[1,4 years)",2,male: single,none,2,"if not A121/A122 : car or other, not in attribute",27,none,own,2,skilled employee/official,1,no,yes,0
"[0,200)",12,existing credits paid back duly till now,radio/television,766,"[500,1000)","3:[1,4 years)",4,male: single,none,3,real estate,66,none,own,1,unskilled - resident,1,no,yes,1
"[0,200)",15,critical account/other credits existing (not at this bank),radio/television,2728,unknown/no savings account,"4:[4,7 years)",4,male: single,guarantor,2,real estate,35,bank,own,3,skilled employee/official,1,yes,yes,0
200+,12,existing credits paid back duly till now,radio/television,1881,<100,"3:[1,4 years)",2,female: divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute",44,none,rent,1,unskilled - resident,1,yes,yes,0
200+,6,existing credits paid back duly till now,ar (new),709,1000+,2:<1 year,2,male: married/widowed,none,2,real estate,27,none,own,1,unemployed/unskilled non-resident,1,no,no,0
"[0,200)",36,existing credits paid back duly till now,radio/television,4795,<100,2:<1 year,4,female: divorced/separated/married,none,1,unknown / no property,30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
<0,27,existing credits paid back duly till now,radio/television,3416,<100,"3:[1,4 years)",3,male: single,none,2,"if not A121/A122 : car or other, not in attribute",27,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,0
<0,18,existing credits paid back duly till now,furniture/equipment,2462,<100,"3:[1,4 years)",2,male: single,none,2,"if not A121/A122 : car or other, not in attribute",22,none,own,1,skilled employee/official,1,no,yes,1
no,21,critical account/other credits existing (not at this bank),furniture/equipment,2288,<100,2:<1 year,4,female: divorced/separated/married,none,4,if not A121 : building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,yes,yes,0
"[0,200)",48,all credits at this bank paid back duly,business,3566,"[100,500)","4:[4,7 years)",4,male: single,none,2,"if not A121/A122 : car or other, not in attribute",30,none,own,1,skilled employee/official,1,no,yes,0
